Date,Buoy,Latitude,Longitude,rtoa_B1,rtoa_B2,rtoa_B3,rtoa_B4,rtoa_B5,rtoa_B6,rtoa_B7,rtoa_B8,rtoa_B8A,rtoa_B9,rtoa_B10,rtoa_B11,rtoa_B12,Chl
2016-08-09,CTD1,4187246,695025,0.1166,0.0879,0.0709,0.0432,0.0365,0.0259,0.024,0.0208,0.0191,0.0065,0.0005,0.0093,0.0073,11.46
2016-08-09,CTD2,4181518,693105,0.1218,0.0935,0.0708,0.049,0.0419,0.0343,0.033,0.0296,0.0285,0.0088,0.0007,0.0176,0.0144,
2016-08-09,CTD3,4181698,695238,0.1208,0.0931,0.07,0.0485,0.0415,0.0347,0.0328,0.0299,0.0284,0.0088,0.0007,0.0186,0.0148,
2016-08-09,CTD4,4180266,698264,0.1283,0.1005,0.0775,0.0557,0.0478,0.0398,0.0384,0.036,0.0326,0.0107,0.0005,0.0195,0.0155,
2016-08-09,CTD5,4179450,700268,0.1245,0.0992,0.0755,0.0413,0.0354,0.032,0.0305,0.0278,0.0266,0.0082,0.0007,0.0174,0.0148,0.21
2016-08-09,CTD6,4176009,695829,0.1171,0.0879,0.0648,0.0413,0.0347,0.0278,0.0262,0.0235,0.022,0.007,0.0006,0.0125,0.0096,
2016-08-09,CTD7,4176724,690397,0.1216,0.0946,0.0752,0.0517,0.0449,0.0353,0.0343,0.0306,0.0288,0.0088,0.0007,0.0184,0.0147,
2016-08-09,CTD8,4174178,693048,0.1178,0.0899,0.07,0.0425,0.0359,0.0277,0.0255,0.0232,0.0213,0.0069,0.0005,0.0123,0.0089,
2016-08-09,CTD9,4171106,693183,0.1233,0.0983,0.0842,0.059,0.0497,0.0377,0.0359,0.0324,0.0309,0.0093,0.0005,0.0213,0.0163,
2016-08-09,CTD10,4170388,695646,0.1206,0.0925,0.0741,0.0488,0.0411,0.0333,0.0329,0.0283,0.0273,0.0084,0.0006,0.0167,0.0138,
2016-08-09,CTD11,4169609,700351,0.1245,0.0925,0.0728,0.0489,0.043,0.0354,0.0355,0.0274,0.0314,0.0093,0.0005,0.0202,0.0175,
