Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,Turbidez
2018-02-20,CTD5,4179450,700268,0.013693371,0.024024917,0.029023038,0.005530437,0.0034889325,0.00094442756,0.0009134974,0.0003586497,0.235,0.6225
2018-02-20,CTD6,4176009,695829,0.0057385475,0.013305007,0.025143718,0.0066540358,0.0046504755,0.0012660252,0.001240115,0.00049930305,6.767,2.492
2018-02-20,CTD7,4176724,690397,0.006130782,0.014894194,0.02916757,0.007515692,0.0049076737,0.0012678765,0.0012334035,0.00048848,1.962,1.865
2018-02-20,CTD8,4174178,693048,0.008975747,0.019547064,0.035581335,0.008791404,0.0058868676,0.0015094688,0.0014644092,0.000567302,1.842,2.525
2018-02-20,CTD9,4171106,693183,0.011786882,0.023073405,0.049150504,0.026451485,0.022528183,0.006152211,0.0059373924,0.0022240668,,
2018-02-20,CTD10,4170388,695646,0.007867683,0.016479446,0.03032459,0.009738292,0.007419275,0.0020588157,0.0020161523,0.00080049515,5.1425,3.061
2018-02-20,CTD11,4169609,700351,0.007317222,0.015543465,0.030623771,0.009854844,0.007322082,0.0019960168,0.0019403265,0.00076861645,5.4495000000000005,2.834
2018-02-20,CTD12,4173438,695414,0.0055115693,0.01283994,0.026086185,0.007503329,0.005248327,0.001410202,0.0013710035,0.00054060144,6.1585,2.747
2018-03-07,CTD1,4187246,695025,0.019374412,0.03303871,0.05787632,0.019781493,0.014791471,0.003855219,0.0036871827,0.0014058381,4.313000000000001,7.284
2018-03-07,CTD2,4181518,693105,0.00932338,0.017955268,0.03122864,0.009513104,0.00716283,0.001994055,0.0019441943,0.0007747246,4.149,3.4125
2018-03-07,CTD3,4181698,695238,0.011651531,0.021129433,0.035969403,0.0113028325,0.009078249,0.0025084813,0.002456433,0.00097010366,2.7695,3.917
2018-03-07,CTD4,4180266,698264,0.011579369,0.022050397,0.039223857,0.013031591,0.009494431,0.002599965,0.0025207226,0.0009944675,2.4075,3.2335000000000003
2018-03-07,CTD5,4179450,700268,0.012373876,0.022630882,0.03293689,0.006970524,0.004664856,0.0012446343,0.0012182897,0.00047492282,0.6599999999999999,0.7025
2018-03-07,CTD6,4176009,695829,0.00839545,0.016452169,0.028441394,0.008948215,0.006590773,0.0018359841,0.0018016235,0.00072261324,4.4085,3.0475
2018-03-07,CTD7,4176724,690397,0.010225023,0.019664481,0.032926995,0.009940088,0.007181761,0.001992095,0.0019441943,0.0007755427,2.192,3.044
2018-03-07,CTD8,4174178,693048,0.010118041,0.020169778,0.033304404,0.008662204,0.0060769743,0.0016390684,0.0015941594,0.0006301364,2.7365,2.99
2018-03-07,CTD9,4171106,693183,0.016217057,0.027682954,0.05020029,0.019905329,0.015313949,0.0040792413,0.00391978,0.001500845,,
2018-03-07,CTD10,4170388,695646,0.009021678,0.017392352,0.029412689,0.009059243,0.0066608614,0.0018614255,0.0018269054,0.0007272004,3.278,2.4450000000000003
2018-03-07,CTD11,4169609,700351,0.009290086,0.018520333,0.0327493,0.010483906,0.0077864383,0.002167896,0.0021148454,0.00084344513,2.474,3.0085
2018-03-07,CTD12,4173438,695414,0.007955336,0.015736394,0.026378391,0.0069992566,0.005304247,0.0014729594,0.0014470832,0.00057994033,3.2755,2.4105
2018-05-16,CTD1,4187246,695025,0.019138629,0.030643377,0.048624128,0.016312746,0.0130334785,0.003443368,0.003302821,0.001264472,2.288,0.403
2018-05-16,CTD2,4181518,693105,0.011233032,0.022154784,0.033977337,0.007977901,0.005394012,0.0014324434,0.0013963565,0.0005497381,2.0505,1.3165
2018-05-16,CTD3,4181698,695238,0.009684341,0.019167285,0.029944427,0.007077435,0.004673094,0.0012265987,0.0011962738,0.00047616145,2.4125,1.1025
2018-05-16,CTD4,4180266,698264,0.009661468,0.019414866,0.030380523,0.0069533414,0.0045250556,0.0012018057,0.0011689038,0.00045936252,1.624,1.047
2018-05-16,CTD5,4179450,700268,0.011563013,0.02339574,0.034342874,0.0068822093,0.004156299,0.001089155,0.0010616314,0.00041409084,0.46,0.53
2018-05-16,CTD6,4176009,695829,0.007147767,0.01612731,0.023005776,0.004189488,0.0025257082,0.00067793636,0.0006625881,0.00026350064,0.7464999999999999,1.247
2018-05-16,CTD7,4176724,690397,0.019767767,0.033832394,0.053251565,0.01389089,0.009812976,0.0025519421,0.0024442554,0.00094035646,2.8085,3.893
2018-05-16,CTD8,4174178,693048,0.013656597,0.026268471,0.04075086,0.009408216,0.0059600878,0.0015303179,0.0014738827,0.00056492706,0.6805000000000001,1.31
2018-05-16,CTD9,4171106,693183,0.016747724,0.029502869,0.060085647,0.031950828,0.029043991,0.008072288,0.00783247,0.0029556535,,
2018-05-16,CTD10,4170388,695646,0.00766151,0.018134248,0.031143054,0.0066567715,0.003944447,0.0010179763,0.0009894394,0.00038600998,1.897,1.749
2018-05-16,CTD11,4169609,700351,0.014905236,0.026334982,0.041060895,0.011056345,0.008011565,0.0021477393,0.0020824603,0.0008175776,1.242,1.858
2018-05-16,CTD12,4173438,695414,0.014850802,0.026595807,0.037086613,0.008601846,0.0054442696,0.0014171139,0.0013649084,0.0005344113,0.5315,1.4195
2018-06-20,CTD1,4187246,695025,0.0073928456,0.016461257,0.026910713,0.005958294,0.003578574,0.000925607,0.00089941523,0.00035047295,1.0705,1.091
2018-06-20,CTD2,4181518,693105,0.009690066,0.019792616,0.028255368,0.005628565,0.0033544581,0.00090805447,0.0008834205,0.00034993497,0.754,0.7095
2018-06-20,CTD3,4181698,695238,0.007583596,0.015736394,0.021797275,0.004204693,0.0025289555,0.00067038543,0.0006532459,0.00025905654,1.0585,0.7505
2018-06-20,CTD4,4180266,698264,0.008536968,0.017307542,0.023262927,0.005582701,0.0036005697,0.000952161,0.0009278145,0.0003630936,0.5349999999999999,0.7729999999999999
2018-06-20,CTD5,4179450,700268,0.012411669,0.021940831,0.027886076,0.0055599147,0.0033486092,0.0009045868,0.00088384876,0.0003477918,0.31,0.4024999999999999
2018-06-20,CTD6,4176009,695829,0.013488292,0.023566406,0.031929176,0.00732634,0.004412792,0.001185568,0.0011371436,0.00044641687,0.674,0.85
2018-06-20,CTD7,4176724,690397,0.009345627,0.019313566,0.028771399,0.006189977,0.003680283,0.000981413,0.00094927667,0.0003727327,0.421,0.9945
2018-06-20,CTD8,4174178,693048,0.010680033,0.022597475,0.035591785,0.007284251,0.0042882394,0.0011088301,0.0010726142,0.00041926635,0.8454999999999999,1.3239999999999998
2018-06-20,CTD9,4171106,693183,0.016772853,0.029285982,0.05576582,0.022921093,0.01872785,0.005103086,0.0048904964,0.0018393612,,
2018-06-20,CTD10,4170388,695646,0.013722839,0.024163427,0.03655167,0.009308281,0.0057380255,0.0015235845,0.0014724212,0.00058024476,1.894,1.3125
2018-06-20,CTD11,4169609,700351,0.0042832885,0.010485182,0.02058572,0.005968073,0.0040073358,0.0011196206,0.0010922564,0.00042627333,0.5335,1.196
2018-06-20,CTD12,4173438,695414,0.010514507,0.021522025,0.03193885,0.006939056,0.0041416963,0.0011013418,0.0010605915,0.0004119543,1.54,0.9885
2018-07-10,CTD1,4187246,695025,0.010760424,0.020253038,0.03299629,0.010183428,0.0070564663,0.0019152611,0.001846101,0.0007272004,0.6825,1.332
2018-07-10,CTD2,4181518,693105,0.010919423,0.021467987,0.03102921,0.0064839716,0.0038385189,0.0010333024,0.0009996364,0.00039263332,0.364,1.0405
2018-07-10,CTD3,4181698,695238,0.010609294,0.020504106,0.028414762,0.005990136,0.0036068799,0.0009785863,0.000949739,0.0003744618,0.6525000000000001,1.111
2018-07-10,CTD4,4180266,698264,0.008526612,0.017787047,0.02829073,0.0069533414,0.0042806934,0.0011261479,0.0010917205,0.0004260525,1.9075,0.857
2018-07-10,CTD5,4179450,700268,0.009067794,0.018772418,0.027313178,0.0054518795,0.0032142024,0.00086529966,0.00084332045,0.000332328,0.72,0.53
2018-07-10,CTD6,4176009,695829,0.0073629767,0.01679536,0.028494714,0.0073505,0.0043779346,0.0011387704,0.0010954769,0.0004251704,2.5575,1.1025
2018-07-10,CTD7,4176724,690397,0.010399189,0.020273888,0.030101625,0.007408203,0.0045631207,0.0012188682,0.001174672,0.00046272017,0.6020000000000001,0.8285
