Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,Turbidez
2016-08-09,CTD1,4187246,695025,0.011450892,0.016650114,0.028876431,0.014738435,0.012411696,0.003736388,11.46,6.89
2016-08-09,CTD2,4181518,693105,0.011312262,0.0151770655,0.021913743,0.012872052,0.010413002,0.0029754401,,
2016-08-09,CTD3,4181698,695238,0.010668161,0.014882068,0.020655101,0.012456335,0.009467541,0.002429041,,
2016-08-09,CTD4,4180266,698264,0.008946076,0.010900615,0.01956898,0.008786617,0.010652719,0.003097792,,
2016-08-09,CTD5,4179450,700268,0.014829517,0.02236663,0.025393838,0.0047690445,0.0031264927,0.0007434063,0.21,0.12
2016-08-09,CTD6,4176009,695829,0.010843163,0.014848155,0.020862717,0.011281502,0.008559693,0.0023239157,,
2016-08-09,CTD7,4176724,690397,0.01374942,0.019918298,0.030750453,0.018626811,0.014427495,0.0040650438,,
2016-08-09,CTD8,4174178,693048,0.010365723,0.015665445,0.025279175,0.012241106,0.009683657,0.0025866001,,
2016-08-09,CTD9,4171106,693183,0.012928517,0.020150354,0.033901665,0.0199778,0.015860243,0.004318023,,
2016-08-09,CTD10,4170388,695646,0.016081367,0.022904217,0.03427543,0.017676726,0.013987463,0.0038934108,,
2016-08-09,CTD11,4169609,700351,0.010719227,0.014928797,0.02249028,0.012713011,0.010645811,0.0031111392,,
2016-08-09,CTD12,4173438,695414,0.012282886,0.017912947,0.025043517,0.013250319,0.009861297,0.0026396925,,
2016-09-08,CTD1,4187246,695025,0.0112527935,0.016315356,0.027374579,0.014725516,0.012372974,0.0038814612,18.69,4.95
2016-09-08,CTD2,4181518,693105,0.009650158,0.014231543,0.023093492,0.011253372,0.008694133,0.0026543294,,
2016-09-08,CTD3,4181698,695238,0.0101938695,0.014533129,0.023435911,0.011002682,0.008926009,0.0026818323,,
2016-09-08,CTD4,4180266,698264,0.011174908,0.015678689,0.023385717,0.013115406,0.010515221,0.0029926745,,
2016-09-08,CTD5,4179450,700268,0.010477604,0.015931955,0.021409435,0.004363565,0.0029474492,0.00072520087,0.94,0.04
2016-09-08,CTD6,4176009,695829,0.008081603,0.011983866,0.018918298,0.009986541,0.007986565,0.0022260717,,
2016-09-08,CTD7,4176724,690397,0.010858353,0.016035022,0.026137542,0.01295801,0.010301453,0.0029401497,,
2016-09-08,CTD9,4171106,693183,0.011051146,0.017641466,0.032649264,0.018707886,0.015915604,0.00476999,,
2016-09-08,CTD10,4170388,695646,0.01156208,0.01746374,0.030537806,0.01607168,0.013656444,0.004160665,,
2016-09-08,CTD11,4169609,700351,0.008577385,0.013493271,0.024008509,0.01182655,0.009540207,0.0026504197,,
2016-09-08,CTD12,4173438,695414,0.0082847625,0.012268295,0.020804148,0.010759835,0.008926009,0.0025846865,,
2017-06-30,CTD1,4187246,695025,0.020357018,0.029518683,0.037854936,0.013071979,0.008717688,0.0020231022,1.1285,3.878
2017-06-30,CTD2,4181518,693105,0.01648207,0.025398772,0.031188054,0.0077052345,0.0051243957,0.0011925652,1.184,2.124
2017-06-30,CTD3,4181698,695238,0.0153105855,0.021547975,0.024697088,0.00799204,0.0058166184,0.001532203,1.818,1.2845
2017-06-30,CTD4,4180266,698264,0.018661596,0.026405288,0.032900732,0.009431433,0.007350387,0.0019785652,2.04,1.971
2017-06-30,CTD5,4179450,700268,0.024468705,0.034116216,0.04005406,0.008122729,0.0052988115,0.0012962203,0.64,0.945
2017-06-30,CTD6,4176009,695829,0.014247245,0.021642271,0.03015083,0.010002512,0.006810086,0.0016292253,2.2775,2.406
2017-06-30,CTD7,4176724,690397,0.020472635,0.03263228,0.04668955,0.01532826,0.009913454,0.0021423695,2.069,3.881
2017-06-30,CTD8,4174178,693048,0.017306384,0.026060998,0.035080723,0.011330863,0.007225878,0.0017082755,1.2534999999999998,2.4925
2017-06-30,CTD9,4171106,693183,0.028188534,0.043018177,0.05778518,0.031876855,0.021224113,0.0045825383,,
2017-06-30,CTD10,4170388,695646,0.01607735,0.023832085,0.026571343,0.0083565265,0.0053122984,0.0012538818,0.751,1.8105
2017-06-30,CTD11,4169609,700351,0.010925381,0.014450009,0.023767952,0.008217196,0.006394488,0.0017755004,1.166,1.354
2017-06-30,CTD12,4173438,695414,0.020597896,0.029867284,0.039647937,0.015564353,0.010375715,0.002392065,1.8135,2.3665000000000003
2018-02-20,CTD1,4187246,695025,0.0018565484,0.002346007,0.0047380463,0.002419089,0.0027931735,0.0010294012,3.802,2.406
2018-02-20,CTD2,4181518,693105,0.0037469205,0.0054573487,0.009654581,0.0024207644,0.0019413177,0.00060486316,3.4605,1.4465
2018-02-20,CTD3,4181698,695238,0.00593303,0.010119167,0.01886443,0.0044996063,0.0030637407,0.00073439616,5.35,2.0825
2018-02-20,CTD4,4180266,698264,0.008711592,0.01342272,0.023364233,0.006688857,0.004457864,0.0010512659,5.38,2.1135
2018-02-20,CTD5,4179450,700268,0.016740322,0.026154634,0.028455343,0.0029149065,0.002011522,0.0005480175,0.8975,1.325
2018-02-20,CTD6,4176009,695829,0.010027124,0.015882839,0.026114043,0.00840618,0.0057707755,0.0014804131,8.548,2.3645
2018-02-20,CTD7,4176724,690397,0.008151261,0.01341099,0.02458496,0.007931322,0.005829177,0.0015207531,3.733,2.607
2018-02-20,CTD8,4174178,693048,0.0070217145,0.011998135,0.019898336,0.0053010867,0.003676758,0.00089619233,5.1295,3.5825
2018-02-20,CTD9,4171106,693183,0.019435916,0.031337854,0.052403618,0.026346503,0.02068086,0.0052783997,,
2018-02-20,CTD10,4170388,695646,0.015801843,0.024307664,0.037659213,0.014413671,0.010210879,0.0026956727,9.274,3.276
2018-02-20,CTD11,4169609,700351,0.010170741,0.016938416,0.028138492,0.009865843,0.007090736,0.0016910037,8.022,2.557
2018-02-20,CTD12,4173438,695414,0.0082847625,0.013438372,0.024133202,0.006819135,0.0053704483,0.0013871376,7.577999999999999,2.6525
2018-03-07,CTD1,4187246,695025,0.022281867,0.03404453,0.051157124,0.018641995,0.013532214,0.0033452036,5.204000000000001,5.959
2018-03-07,CTD2,4181518,693105,0.013836381,0.021349184,0.034073807,0.011207777,0.008329929,0.0021123958,7.678000000000001,3.1185
2018-03-07,CTD3,4181698,695238,0.019530576,0.028715886,0.044542864,0.015771337,0.012138703,0.0032587242,7.6215,3.58
2018-03-07,CTD4,4180266,698264,0.016445383,0.026054762,0.042337365,0.012743926,0.008916999,0.0022960855,5.1435,2.835
2018-03-07,CTD5,4179450,700268,0.016798055,0.025843276,0.03279811,0.0048358277,0.0031928935,0.0008116288,1.0475,1.3275
2018-03-07,CTD6,4176009,695829,0.010153421,0.016201878,0.026129706,0.007370416,0.005220433,0.0013113262,7.0215,3.0
2018-03-07,CTD7,4176724,690397,0.010354,0.01677986,0.02679436,0.006789225,0.004609818,0.0011299886,4.387499999999999,3.006
2018-03-07,CTD8,4174178,693048,0.010891828,0.017420707,0.028783383,0.007933954,0.005506361,0.0013092328,4.548,3.1180000000000003
2018-03-07,CTD9,4171106,693183,0.021145368,0.031759568,0.046264585,0.02066231,0.01454877,0.0035162433,,
2018-03-07,CTD10,4170388,695646,0.008933059,0.014084638,0.023811541,0.0062045706,0.0043281154,0.0010679568,6.121,2.9365
