Date,Buoy,Chl
2016-08-09,CTD5,0.12
2016-08-25,CTD5,1.06
2016-08-30,CTD5,0.44
2016-09-06,CTD5,
2016-09-08,CTD5,0.04
2016-09-22,CTD5,0.97
2016-09-29,CTD5,3.39
2016-10-06,CTD5,1.83
2016-10-14,CTD5,1.45
2016-10-21,CTD5,0.45
2016-10-28,CTD5,1.62
2016-11-03,CTD5,0.57
2016-11-11,CTD5,0.45
2016-11-18,CTD5,3.48
2016-11-22,CTD5,0.49
2016-12-02,CTD5,2.57
2016-12-13,CTD5,0.73
2016-12-21,CTD5,5.05
2017-01-12,CTD5,10.12
2017-01-26,CTD5,2.68
2017-02-03,CTD5,1.05
2017-02-10,CTD5,2.23
2017-02-16,CTD5,5.5
2017-02-24,CTD5,0.79
2017-03-02,CTD5,0.57
2017-03-22,CTD1,2.59
2017-03-22,CTD10,3.206
2017-03-22,CTD11,1.378
2017-03-22,CTD12,3.07
2017-03-22,CTD2,2.089
2017-03-22,CTD3,1.897
2017-03-22,CTD4,1.886
2017-03-22,CTD5,0.43
2017-03-22,CTD6,2.362
2017-03-22,CTD7,3.378
2017-03-22,CTD8,3.334
2017-03-22,CTD9,4.166
2017-03-30,CTD1,4.111
2017-03-30,CTD10,2.831
2017-03-30,CTD11,1.099
2017-03-30,CTD12,2.417
2017-03-30,CTD2,2.101
2017-03-30,CTD3,1.46
2017-03-30,CTD4,1.318
2017-03-30,CTD5,0.44
2017-03-30,CTD6,2.083
2017-03-30,CTD7,3.88
2017-03-30,CTD8,2.877
2017-03-30,CTD9,3.301
2017-04-05,CTD1,2.004
2017-04-05,CTD10,3.057
2017-04-05,CTD11,0.722
2017-04-05,CTD12,2.055
2017-04-05,CTD2,1.716
2017-04-05,CTD3,1.514
2017-04-05,CTD4,1.299
2017-04-05,CTD5,0.22
2017-04-05,CTD6,2.25
2017-04-05,CTD7,5.135
2017-04-05,CTD8,2.437
2017-04-05,CTD9,1.534
2017-04-12,CTD1,6.824
2017-04-12,CTD10,2.799
2017-04-12,CTD11,1.128
2017-04-12,CTD12,2.698
2017-04-12,CTD2,1.79
2017-04-12,CTD3,1.722
2017-04-12,CTD4,1.984
2017-04-12,CTD5,1.02
2017-04-12,CTD6,2.526
2017-04-12,CTD7,2.998
2017-04-12,CTD8,2.134
2017-04-12,CTD9,2.197
2017-04-18,CTD5,
2017-04-25,CTD1,1.574
2017-04-25,CTD10,1.421
2017-04-25,CTD11,1.352
2017-04-25,CTD12,1.936
2017-04-25,CTD2,1.957
2017-04-25,CTD3,1.638
2017-04-25,CTD4,1.468
2017-04-25,CTD5,1.16
2017-04-25,CTD6,1.879
2017-04-25,CTD7,2.527
2017-04-25,CTD8,2.957
2017-04-25,CTD9,3.754
