Date,Buoy,Chl
2016-08-09,CTD5,0.12
2016-08-25,CTD5,1.06
2016-08-30,CTD5,0.44
2016-09-06,CTD5,
2016-09-08,CTD5,0.04
2016-09-22,CTD5,0.97
2016-09-29,CTD5,3.39
2016-10-06,CTD5,1.83
2016-10-14,CTD5,1.45
2016-10-21,CTD5,0.45
2016-10-28,CTD5,1.62
2016-11-03,CTD5,0.57
2016-11-11,CTD5,0.45
2016-11-18,CTD5,3.48
2016-11-22,CTD5,0.49
2016-12-02,CTD5,2.57
2016-12-13,CTD5,0.73
2016-12-21,CTD5,5.05
2017-01-12,CTD5,10.12
2017-01-26,CTD5,2.68
2017-02-03,CTD5,1.05
2017-02-10,CTD5,2.23
2017-02-16,CTD5,5.5
2017-02-24,CTD5,0.79
2017-03-02,CTD5,0.57
2017-03-22,CTD1,2.145
2017-03-22,CTD10,3.36
2017-03-22,CTD11,1.582
2017-03-22,CTD12,3.203
2017-03-22,CTD2,2.123
2017-03-22,CTD3,1.828
2017-03-22,CTD4,1.954
2017-03-22,CTD5,0.43
2017-03-22,CTD6,2.46
2017-03-22,CTD7,3.544
2017-03-22,CTD8,3.538
2017-03-22,CTD9,4.166
2017-03-30,CTD1,3.539
2017-03-30,CTD10,2.997
2017-03-30,CTD11,1.373
2017-03-30,CTD12,2.497
2017-03-30,CTD2,2.167
2017-03-30,CTD3,1.511
2017-03-30,CTD4,1.225
2017-03-30,CTD5,0.44
2017-03-30,CTD6,2.103
2017-03-30,CTD7,4.065
2017-03-30,CTD8,3.29
2017-03-30,CTD9,3.301
2017-04-05,CTD1,1.549
2017-04-05,CTD10,2.91
2017-04-05,CTD11,0.653
2017-04-05,CTD12,2.15
2017-04-05,CTD2,1.606
2017-04-05,CTD3,1.516
2017-04-05,CTD4,1.352
2017-04-05,CTD5,0.22
2017-04-05,CTD6,2.166
2017-04-05,CTD7,5.202
2017-04-05,CTD8,2.548
2017-04-05,CTD9,1.534
2017-04-12,CTD1,5.839
2017-04-12,CTD10,2.934
2017-04-12,CTD11,0.965
2017-04-12,CTD12,2.674
2017-04-12,CTD2,1.722
2017-04-12,CTD3,1.761
2017-04-12,CTD4,2.067
2017-04-12,CTD5,1.02
2017-04-12,CTD6,2.531
2017-04-12,CTD7,3.24
2017-04-12,CTD8,2.22
2017-04-12,CTD9,2.197
2017-04-18,CTD5,
2017-04-25,CTD1,1.5
2017-04-25,CTD10,1.496
2017-04-25,CTD11,1.366
2017-04-25,CTD12,1.955
2017-04-25,CTD2,2.065
2017-04-25,CTD3,1.692
2017-04-25,CTD4,1.454
2017-04-25,CTD5,1.16
2017-04-25,CTD6,2.032
2017-04-25,CTD7,2.323
2017-04-25,CTD8,3.132
2017-04-25,CTD9,3.754
