Date,Buoy,Chl,Turbidez
2016-08-09,CTD5,0.21,0.12
2016-08-25,CTD5,0.44,1.06
2016-08-30,CTD5,1.67,0.44
2016-09-06,CTD5,,
2016-09-08,CTD5,0.94,0.04
2016-09-22,CTD5,0.56,0.97
2016-09-29,CTD5,0.46,3.39
2016-10-06,CTD5,0.88,1.83
2016-10-14,CTD5,3.5,1.45
2016-10-21,CTD5,1.24,0.45
2016-10-28,CTD5,2.05,1.62
2016-11-03,CTD5,3.65,0.57
2016-11-11,CTD5,1.16,0.45
2016-11-18,CTD5,1.95,3.48
2016-11-22,CTD5,1.33,0.49
2016-12-02,CTD5,1.35,2.57
2016-12-13,CTD5,2.56,0.73
2016-12-21,CTD5,0.53,5.05
2017-01-12,CTD5,4.78,10.12
2017-01-26,CTD5,4.52,2.68
2017-02-03,CTD5,2.17,1.05
2017-02-10,CTD5,1.61,2.23
2017-02-16,CTD5,1.79,5.5
2017-02-24,CTD5,1.63,0.79
2017-03-02,CTD5,0.73,0.57
2017-03-22,CTD1,,2.145
2017-03-22,CTD10,,3.695
2017-03-22,CTD11,,1.951
2017-03-22,CTD12,,3.027
2017-03-22,CTD2,,2.185
2017-03-22,CTD3,,1.95
2017-03-22,CTD4,,2.128
2017-03-22,CTD5,2.28,0.43
2017-03-22,CTD6,,2.549
2017-03-22,CTD7,,3.628
2017-03-22,CTD8,,3.857
2017-03-22,CTD9,,
2017-03-30,CTD1,,3.539
2017-03-30,CTD10,,3.155
2017-03-30,CTD11,,2.298
2017-03-30,CTD12,,2.75
2017-03-30,CTD2,,2.179
2017-03-30,CTD3,,1.679
2017-03-30,CTD4,,1.216
2017-03-30,CTD5,3.32,0.44
2017-03-30,CTD6,,2.125
2017-03-30,CTD7,,4.41
2017-03-30,CTD8,,3.439
2017-03-30,CTD9,,
2017-04-05,CTD1,,1.549
2017-04-05,CTD10,,2.959
2017-04-05,CTD11,,0.424
2017-04-05,CTD12,,2.304
2017-04-05,CTD2,,1.764
2017-04-05,CTD3,,1.528
2017-04-05,CTD4,,1.406
2017-04-05,CTD5,2.47,0.22
2017-04-05,CTD6,,2.331
2017-04-05,CTD7,,4.977
2017-04-05,CTD8,,2.693
2017-04-05,CTD9,,
2017-04-12,CTD1,,5.839
2017-04-12,CTD10,,2.751
2017-04-12,CTD11,,0.989
2017-04-12,CTD12,,2.566
2017-04-12,CTD2,,1.609
2017-04-12,CTD3,,1.542
2017-04-12,CTD4,,2.402
2017-04-12,CTD5,3.27,1.02
2017-04-12,CTD6,,2.417
2017-04-12,CTD7,,3.489
2017-04-12,CTD8,,2.316
2017-04-12,CTD9,,
2017-04-18,CTD5,,
2017-04-25,CTD1,,1.5
2017-04-25,CTD10,,1.636
2017-04-25,CTD11,,1.119
2017-04-25,CTD12,,2.039
2017-04-25,CTD2,,2.009
2017-04-25,CTD3,,1.657
2017-04-25,CTD4,,1.369
2017-04-25,CTD5,2.91,1.16
2017-04-25,CTD6,,2.044
2017-04-25,CTD7,,2.141
2017-04-25,CTD8,,3.395
2017-04-25,CTD9,,
2017-05-04,CTD1,,1.975
2017-05-04,CTD10,,1.358
2017-05-04,CTD11,,2.315
2017-05-04,CTD12,,2.694
2017-05-04,CTD2,,1.04
2017-05-04,CTD3,,1.093
2017-05-04,CTD4,,1.338
2017-05-04,CTD5,2.67,1.1
2017-05-04,CTD6,,1.719
2017-05-04,CTD7,,2.279
2017-05-04,CTD8,,2.778
2017-05-04,CTD9,,
2017-05-10,CTD5,2.93,0.32
2017-05-19,CTD1,0.967,10.618
2017-05-19,CTD10,0.972,1.824
2017-05-19,CTD11,0.927,1.366
2017-05-19,CTD12,0.859,1.042
2017-05-19,CTD2,1.769,2.447
2017-05-19,CTD3,1.65,1.688
2017-05-19,CTD4,1.386,4.17
2017-05-19,CTD5,0.27,0.46
2017-05-19,CTD6,0.865,0.877
2017-05-19,CTD7,0.927,2.633
2017-05-19,CTD8,1.34,3.036
2017-05-19,CTD9,,
