Date,Buoy,Chl,Turbidez
2016-08-09,CTD5,0.21,0.12
2016-08-25,CTD5,0.44,1.06
2016-08-30,CTD5,1.67,0.44
2016-09-06,CTD5,,
2016-09-08,CTD5,0.94,0.04
2016-09-22,CTD5,0.56,0.97
2016-09-29,CTD5,0.46,3.39
2016-10-06,CTD5,0.88,1.83
2016-10-14,CTD5,3.5,1.45
2016-10-21,CTD5,1.24,0.45
2016-10-28,CTD5,2.05,1.62
2016-11-03,CTD5,3.65,0.57
2016-11-11,CTD5,1.16,0.45
2016-11-18,CTD5,1.95,3.48
2016-11-22,CTD5,1.33,0.49
2016-12-02,CTD5,1.35,2.57
2016-12-13,CTD5,2.56,0.73
2016-12-21,CTD5,0.53,5.05
2017-01-12,CTD5,4.78,10.12
2017-01-26,CTD5,4.52,2.68
2017-02-03,CTD5,2.17,1.05
2017-02-10,CTD5,1.61,2.23
2017-02-16,CTD5,1.79,5.5
2017-02-24,CTD5,1.63,0.79
2017-03-02,CTD5,0.73,0.57
2017-03-22,CTD1,,2.145
2017-03-22,CTD10,,3.094
2017-03-22,CTD11,,1.582
2017-03-22,CTD12,,3.372
2017-03-22,CTD2,,2.085
2017-03-22,CTD3,,1.745
2017-03-22,CTD4,,1.642
2017-03-22,CTD5,2.28,0.43
2017-03-22,CTD6,,2.399
2017-03-22,CTD7,,3.523
2017-03-22,CTD8,,3.178
2017-03-22,CTD9,,
2017-03-30,CTD1,,3.539
2017-03-30,CTD10,,2.914
2017-03-30,CTD11,,1.373
2017-03-30,CTD12,,2.445
2017-03-30,CTD2,,2.059
2017-03-30,CTD3,,1.342
2017-03-30,CTD4,,1.253
2017-03-30,CTD5,3.32,0.44
2017-03-30,CTD6,,2.176
2017-03-30,CTD7,,3.76
2017-03-30,CTD8,,3.268
2017-03-30,CTD9,,
2017-04-05,CTD1,,1.549
2017-04-05,CTD10,,2.936
2017-04-05,CTD11,,0.653
2017-04-05,CTD12,,1.888
2017-04-05,CTD2,,1.531
2017-04-05,CTD3,,1.561
2017-04-05,CTD4,,1.295
2017-04-05,CTD5,2.47,0.22
2017-04-05,CTD6,,2.027
2017-04-05,CTD7,,5.317
2017-04-05,CTD8,,2.334
2017-04-05,CTD9,,
2017-04-12,CTD1,,5.839
2017-04-12,CTD10,,2.944
2017-04-12,CTD11,,0.965
2017-04-12,CTD12,,2.737
2017-04-12,CTD2,,1.761
2017-04-12,CTD3,,1.844
2017-04-12,CTD4,,1.777
2017-04-12,CTD5,3.27,1.02
2017-04-12,CTD6,,2.512
2017-04-12,CTD7,,2.852
2017-04-12,CTD8,,2.004
2017-04-12,CTD9,,
2017-04-18,CTD5,,
2017-04-25,CTD1,,1.5
2017-04-25,CTD10,,1.483
2017-04-25,CTD11,,1.366
2017-04-25,CTD12,,1.794
2017-04-25,CTD2,,2.096
2017-04-25,CTD3,,1.682
2017-04-25,CTD4,,1.573
2017-04-25,CTD5,2.91,1.16
2017-04-25,CTD6,,1.941
2017-04-25,CTD7,,2.447
2017-04-25,CTD8,,2.774
2017-04-25,CTD9,,
2017-05-04,CTD1,,1.975
2017-05-04,CTD10,,1.501
2017-05-04,CTD11,,1.775
2017-05-04,CTD12,,1.412
2017-05-04,CTD2,,1.379
2017-05-04,CTD3,,1.157
2017-05-04,CTD4,,1.131
2017-05-04,CTD5,2.67,1.1
2017-05-04,CTD6,,1.21
2017-05-04,CTD7,,1.608
2017-05-04,CTD8,,2.051
2017-05-04,CTD9,,
2017-05-10,CTD5,2.93,0.32
2017-05-19,CTD1,0.967,10.618
2017-05-19,CTD10,0.929,1.833
2017-05-19,CTD11,1.111,1.369
2017-05-19,CTD12,1.027,1.691
2017-05-19,CTD2,1.402,1.422
2017-05-19,CTD3,1.656,1.345
2017-05-19,CTD4,1.451,3.11
2017-05-19,CTD5,0.27,0.46
2017-05-19,CTD6,1.014,1.081
2017-05-19,CTD7,0.819,2.514
2017-05-19,CTD8,1.15,2.805
2017-05-19,CTD9,,
